Pclass,Sex,Age,Fare,Embarked,relatives,IsAlone
1,0,31,50,0,0,1
3,0,42,7,0,0,1
3,1,22,7,77,0,1
3,1,24,15,0,1,0
2,0,34,21,0,1,0
3,1,22,7,0,0,1
2,0,60,39,NaN,2,0
2,0,36,12,1,0,1
3,0,28,8,0,0,1
1,0,28,26,0,0,1
3,0,28,7,0,0,1
3,0,21,7,0,0,1
3,0,34,8,0,0,1
3,1,28,25,0,4,0
3,0,28,7,1,0,1
3,1,45,14,1,1,0
1,1,58,153,0,1,0
3,0,4,27,0,5,0
3,0,20,7,0,1,0
1,0,28,30,1,0,1
2,1,27,13,1,NaN,0
2,0,66,10,0,0,1
1,0,47,38,0,0,1
2,1,30,13,0,0,1
3,0,32,8,0,0,1
1,0,24,247,1,1,0
2,1,55,16,0,0,1
1,1,38,227,1,0,1
3,0,28,7,1,0,1
3,0,22,7,0,0,1
1,0,56,30,1,0,1
3,0,28,7,0,2,0
3,0,24,NaN,0,0,1
3,1,32,15,77,2,0
3,0,26,20,0,3,0
1,0,52,30,0,0,1
2,1,28,26,0,1,0
1,1,48,39,1,1,0
1,0,27,30,0,0,1
3,0,40,14,0,2,0
3,0,70,7,77,0,1
2,0,37,26,0,1,0
3,0,33,7,NaN,0,1
2,1,4,23,0,2,0
3,0,28,7,0,0,1
3,1,31,18,0,1,0
1,0,28,35,0,0,1
3,1,45,7,0,0,1
1,0,40,27,1,0,1
3,0,28,7,0,0,1
3,0,22,7,0,1,0
2,0,21,73,NaN,0,1
3,0,0,8,1,1,0
3,0,28,7,77,0,1
2,1,19,26,0,0,1
3,1,30,8,0,0,1
3,0,21,7,0,0,1
1,1,30,56,1,0,1
1,0,58,29,1,0,1
1,0,61,32,0,0,1
3,0,44,8,0,0,1
3,0,17,8,0,0,1
3,NaN,18,18,0,2,0
3,1,8,21,0,4,0
2,0,28,10,0,0,1
3,0,61,6,0,0,1
2,1,24,13,0,0,1
3,1,2,10,0,1,0
3,0,22,7,0,0,1
3,1,28,16,0,1,0
1,0,36,78,0,1,0
2,1,24,18,0,5,0
3,0,22,7,1,0,1
3,0,28,6,77,0,1
1,1,18,262,1,4,0
1,1,35,512,1,0,1
3,1,28,NaN,0,10,0
1,0,65,26,0,0,1
3,1,28,7,77,0,1
3,0,16,20,0,2,0
3,0,33,7,0,0,1
1,1,28,52,0,1,0
2,0,30,24,1,1,0
1,0,28,27,1,0,1
3,0,28,8,0,0,1
3,0,19,7,0,0,1
3,1,11,31,0,6,0
3,0,16,9,0,0,1
1,1,43,211,0,1,0
2,0,36,26,0,2,0
3,0,20,4,1,0,1
3,0,40,7,0,0,1
3,0,28,7,1,0,1
3,0,28,7,0,0,1
3,1,16,46,0,7,0
3,1,17,14,1,0,1
2,0,24,10,0,0,1
3,1,28,16,0,1,0
3,1,15,14,1,1,0
3,1,28,7,77,0,1
3,1,28,69,0,10,0
3,1,39,31,0,6,0
3,1,21,9,0,1,0
1,0,35,26,NaN,0,1
3,1,9,31,0,6,0
3,1,18,17,0,1,0
3,0,22,7,0,0,1
3,0,28,56,0,0,1
3,0,19,0,0,0,1
3,0,7,29,77,5,0
3,0,36,0,0,0,1
3,0,28,69,0,10,0
3,0,30,8,0,0,1
1,1,53,51,0,2,0
3,0,25,7,0,0,1
3,0,32,56,0,0,1
3,0,29,7,0,0,1
2,0,26,10,0,0,1
2,0,36,27,0,3,0
2,0,39,13,0,0,1
1,0,28,26,0,0,1
2,1,36,26,0,1,0
1,1,22,151,0,0,1
1,0,46,79,1,0,1
1,0,49,89,1,1,0
1,0,28,30,0,0,1
1,1,29,211,0,0,1
3,0,28,14,0,0,1
1,1,2,151,0,3,0
3,0,15,7,1,2,0
3,1,28,7,77,0,1
1,0,64,26,0,0,1
3,0,1,46,0,7,0
3,0,18,8,0,0,1
3,0,12,11,1,1,0
3,0,18,7,0,NaN,0
2,0,24,73,0,2,0
3,0,28,7,1,0,1
3,1,28,7,0,0,1
1,0,47,52,0,0,1
3,1,2,12,0,1,0
3,0,28,8,0,0,1
3,0,39,7,0,0,1
3,0,28,7,77,0,1
2,0,35,26,0,0,1
1,1,36,120,0,3,0
3,0,28,7,0,0,1
3,1,28,7,77,0,1
3,0,28,8,0,0,1
2,0,28,0,0,0,1
2,0,23,13,0,0,1
1,0,28,26,0,0,1
2,1,4,39,0,3,0
1,1,28,79,1,0,1
3,1,4,22,0,2,0
2,0,23,10,0,0,1
3,0,20,9,0,0,1
2,1,35,21,0,0,1
1,1,39,110,1,2,0
3,0,24,8,0,0,1
3,1,20,8,0,0,1
2,0,19,13,0,0,1
1,1,39,79,0,2,0
3,1,28,7,77,2,0
1,0,27,53,0,1,0
3,1,22,9,0,0,1
3,0,48,7,0,0,1
1,0,49,110,1,2,0
1,NaN,19,263,0,5,0
3,0,28,7,0,0,1
3,1,27,7,0,0,1
1,0,37,52,0,2,0
3,0,36,7,0,0,1
3,0,21,7,0,0,1
2,0,32,10,0,0,1
3,1,28,14,1,1,0
3,1,28,22,1,2,0
3,0,26,7,0,0,1
3,0,28,7,77,0,1
3,0,17,8,0,0,1
2,0,30,10,0,0,1
3,1,5,31,0,6,0
3,0,44,7,0,0,1
2,0,42,13,0,0,1
3,0,24,NaN,0,1,0
2,0,57,12,77,0,1
1,1,60,75,1,1,0
3,0,24,7,0,0,1
3,1,28,8,0,0,1
3,1,22,7,0,0,1
3,0,28,7,0,0,1
1,1,24,49,1,0,1
3,0,16,18,0,2,0
3,0,21,16,0,0,1
3,0,37,7,0,2,0
3,1,28,22,1,2,0
2,0,25,41,1,3,0
1,1,47,52,0,2,0
3,1,28,15,77,1,0
1,0,54,51,0,0,1
1,1,18,79,0,2,0
3,0,28,15,NaN,1,0
2,0,23,13,0,0,1
2,0,8,36,0,2,0
3,0,28,8,0,0,1
3,0,35,7,0,0,1
1,1,38,80,0,0,1
2,1,50,10,0,0,1
1,0,4,81,0,2,0
1,0,45,83,0,1,0
3,0,21,8,0,0,1
3,0,31,7,0,0,1
3,0,28,7,77,0,1
3,0,9,20,0,2,0
3,0,28,7,0,0,1
3,0,23,7,0,0,1
1,0,17,110,1,2,0
3,0,44,8,0,0,1
3,0,39,7,0,0,1
1,1,17,57,0,1,0
3,0,20,8,0,0,1
1,1,39,83,1,2,0
3,0,19,10,0,0,1
2,0,31,10,0,0,1
3,0,30,9,0,0,1
2,0,18,11,0,0,1
3,0,28,16,0,NaN,0
2,0,28,0,0,0,1
3,0,28,56,0,0,1
2,0,28,0,0,0,1
3,0,29,7,0,1,0
3,1,38,31,0,6,0
3,0,29,9,0,0,1
2,0,29,27,1,1,0
2,1,29,26,0,1,0
1,1,38,71,1,1,0
3,0,36,7,0,0,1
3,1,28,7,1,0,1
3,0,28,7,0,0,1
1,1,28,133,0,1,0
3,1,21,7,77,0,1
1,1,45,164,0,2,0
1,0,36,40,1,0,1
3,0,23,9,0,0,1
1,0,28,47,0,0,1
3,0,28,14,1,0,1
3,1,28,23,77,2,0
2,1,29,26,0,1,0
3,0,32,7,77,NaN,1
3,0,21,7,0,0,1
3,1,21,34,0,4,0
3,0,30,8,0,0,1
2,0,62,10,0,0,1
1,1,33,86,0,0,1
1,0,28,0,0,0,1
2,0,28,0,0,0,1
1,0,28,29,1,0,1
3,0,34,8,0,0,1
3,1,28,14,0,2,0
1,0,33,5,0,0,1
2,0,42,13,0,0,1
2,1,34,10,0,0,1
1,1,32,76,1,0,1
2,1,44,26,0,1,0
3,0,21,8,0,0,1
3,0,28,8,0,0,1
3,0,19,6,77,0,1
3,0,28,7,77,0,1
3,0,55,8,0,0,1
2,0,19,10,0,NaN,1
3,0,47,7,0,0,1
2,1,7,26,0,2,0
3,0,43,6,0,0,1
2,1,24,14,0,2,0
3,1,28,7,77,0,1
3,0,38,7,0,0,1
1,1,35,52,0,1,0
1,1,41,134,1,0,1
3,0,28,9,0,0,1
1,0,35,26,1,0,1
3,1,19,7,77,0,1
3,0,28,7,0,0,1
2,0,34,21,0,1,0
1,0,48,52,0,1,0
2,1,33,26,0,2,0
3,0,NaN,69,0,10,0
2,0,16,26,0,0,1
1,0,28,25,0,0,1
1,0,37,53,0,1,0
3,0,29,7,0,0,1
3,0,16,8,0,0,1
3,0,22,9,0,0,1
3,0,28,8,0,0,1
3,0,32,7,0,0,1
3,0,8,29,77,5,0
1,1,21,77,0,0,1
3,0,32,7,0,0,1
3,0,28,9,0,0,1
1,1,15,211,0,1,0
1,1,19,26,0,2,0
2,0,25,26,0,1,0
3,0,41,7,0,0,1
2,0,31,13,0,0,1
2,0,35,10,0,0,1
3,0,28,7,77,0,1
3,1,18,NaN,0,0,1
3,1,24,8,0,0,1
1,1,30,31,1,0,1
3,1,4,16,0,2,0
3,1,18,9,0,1,0
1,1,36,71,0,2,0
3,1,29,10,0,2,0
3,0,26,18,1,0,1
1,1,23,113,1,1,0
3,0,32,7,0,0,1
3,0,26,8,0,2,0
1,1,44,27,1,0,1
3,1,23,7,0,0,1
1,0,36,26,0,0,1
3,0,20,7,0,0,1
3,0,22,8,0,0,1
1,1,36,135,1,0,1
3,1,28,15,77,1,0
2,1,26,26,0,2,0
2,1,42,26,0,1,0
3,1,28,7,77,0,1
1,1,24,263,0,5,0
3,0,28,7,0,NaN,1
3,0,1,20,0,3,0
1,0,28,26,0,0,1
3,0,20,15,1,2,0
3,0,20,9,0,0,1
3,0,28,7,0,0,1
2,0,3,18,0,2,0
1,0,45,26,0,0,1
3,0,25,7,0,1,0
3,1,9,27,0,5,0
2,0,39,26,0,0,1
3,0,28,7,77,0,1
1,0,46,61,0,1,0
3,0,28,7,0,0,1
2,1,18,23,0,1,0
3,0,16,8,0,0,1
3,0,47,9,0,0,1
3,1,37,9,0,0,1
3,0,14,39,0,5,0
NaN,0,28,52,0,0,1
3,0,31,7,0,0,1
1,0,28,227,1,0,1
2,0,23,13,0,0,1
3,0,33,7,1,0,1
3,0,39,24,0,0,1
2,0,28,13,0,0,1
1,1,40,153,0,0,1
3,0,42,8,0,1,0
1,1,31,113,1,1,0
3,0,33,9,0,0,1
3,0,25,7,0,0,1
3,1,31,8,0,0,1
2,0,28,0,0,0,1
3,0,19,14,0,0,1
3,0,38,8,0,0,1
2,1,45,26,0,2,0
3,NaN,48,34,0,4,0
1,0,27,76,1,0,1
1,1,30,86,0,0,1
3,0,28,7,77,0,1
3,0,4,31,0,6,0
3,0,28,15,0,0,1
2,1,28,13,0,0,1
3,0,28,19,0,1,0
2,0,32,73,0,2,0
1,0,48,26,0,0,1
3,0,28,7,0,0,1
3,0,28,7,77,0,1
1,0,39,0,0,0,1
3,1,18,7,0,0,1
3,0,28,15,1,2,0
3,0,10,27,0,5,0
3,0,32,15,0,1,0
3,1,27,11,0,2,0
3,0,28,8,0,0,1
2,1,NaN,10,0,0,1
2,1,5,27,0,3,0
2,1,33,27,0,3,0
3,0,18,20,0,2,0
1,0,27,211,1,2,0
3,0,9,46,0,7,0
1,1,54,78,1,1,0
3,0,51,7,0,0,1
1,0,51,26,0,0,1
1,1,40,134,1,2,0
3,0,28,15,77,1,0
1,1,33,90,77,1,0
3,1,22,7,0,0,1
1,1,23,263,0,5,0
1,0,56,35,1,0,1
2,1,22,29,0,2,0
3,0,27,7,0,0,1
3,0,22,7,1,0,1
1,1,35,NaN,0,1,0
2,0,18,73,0,0,1
3,1,10,24,0,2,0
3,0,17,7,NaN,0,1
3,0,28,23,77,2,0
3,0,4,11,0,2,0
3,0,23,7,1,0,1
3,1,26,7,0,0,1
1,1,62,80,0,0,1
3,0,28,15,77,1,0
3,0,16,NaN,0,4,0
3,1,28,24,77,1,0
3,0,40,27,0,5,0
1,0,48,76,1,1,0
3,0,2,29,77,5,0
1,0,71,49,1,0,1
2,0,3,26,0,2,0
1,1,28,89,1,1,0
3,0,26,7,0,0,1
3,0,26,8,0,0,1
1,1,22,49,1,2,0
1,0,64,263,0,5,0
3,1,28,15,1,2,0
3,1,28,7,77,0,1
1,0,NaN,26,NaN,0,1
3,1,14,7,0,0,1
3,0,28,8,0,0,1
2,0,36,10,0,0,1
1,0,52,79,0,2,0
3,0,51,8,0,0,1
2,0,0,14,0,2,0
2,1,50,26,0,1,0
1,1,35,53,0,1,0
3,0,28,7,NaN,0,1
3,0,9,15,0,2,0
2,1,24,65,0,3,0
2,1,23,13,1,0,1
3,0,40,7,1,0,1
1,0,24,79,1,0,1
3,0,19,8,0,0,1
1,0,47,34,0,0,1
2,0,28,13,0,0,1
2,1,21,10,0,0,1
3,0,28,8,0,NaN,1
1,0,70,71,0,2,0
3,0,21,7,0,0,1
1,1,54,59,1,1,0
3,0,38,7,0,0,1
2,1,2,26,0,NaN,0
3,1,13,7,1,0,1
1,0,0,151,0,3,0
1,0,50,55,0,1,0
1,1,30,106,1,0,1
2,0,52,13,0,0,1
2,1,38,13,0,0,1
3,1,28,15,77,1,0
1,0,62,26,0,0,1
3,0,45,NaN,0,0,1
3,1,28,7,77,0,1
3,0,30,7,1,0,1
3,1,29,15,1,2,0
1,0,29,30,0,0,1
1,0,36,120,0,3,0
2,1,6,33,0,1,0
3,0,28,7,0,0,1
3,0,18,6,0,1,0
1,0,26,30,NaN,0,1
2,0,54,26,0,0,1
3,0,35,7,1,0,1
3,0,28,8,0,0,1
1,1,51,77,0,1,0
3,0,34,6,1,0,1
3,0,25,0,0,0,1
1,0,25,91,1,NaN,0
3,0,27,7,0,0,1
2,1,27,10,0,0,1
3,0,28,7,77,0,1
3,1,24,16,0,2,0
3,0,28,56,0,0,1
2,0,30,13,0,0,1
2,1,34,13,0,0,1
3,0,28,8,0,0,1
3,1,22,10,NaN,0,1
3,1,28,8,77,0,1
3,0,22,8,0,0,1
1,1,26,78,0,0,1
3,0,28,6,77,0,1
1,0,80,30,0,0,1
2,0,30,13,0,0,1
3,1,28,7,77,0,1
3,1,28,69,0,10,0
1,1,42,227,1,0,1
2,0,34,26,0,1,0
2,NaN,23,15,1,0,1
3,0,28,25,0,4,0
1,1,16,86,0,0,1
3,1,36,17,0,1,0
2,1,28,33,0,0,1
1,1,19,30,0,0,1
3,1,14,11,1,1,0
2,0,NaN,26,0,2,0
3,1,26,7,0,0,1
3,0,28,19,0,1,0
3,1,27,12,0,1,0
2,0,31,37,1,2,0
3,1,17,7,0,6,0
3,1,16,7,77,0,1
2,1,22,41,1,3,0
3,0,28,7,1,0,1
3,0,30,NaN,0,1,0
3,0,28,69,0,10,0
1,0,45,35,0,0,1
3,1,28,25,0,4,0
3,1,14,14,1,1,0
1,0,38,90,0,1,0
1,0,50,106,1,1,0
3,0,26,14,1,1,0
3,1,28,7,77,0,1
3,1,41,39,0,5,0
3,1,20,9,0,1,0
1,0,71,34,1,0,1
1,0,35,512,1,0,1
3,0,28,7,77,NaN,0
3,0,32,7,0,0,1
2,1,32,13,0,0,1
3,1,21,7,0,0,1
3,0,36,24,0,2,0
2,0,28,13,0,0,1
1,1,21,NaN,1,4,0
2,1,34,23,0,1,0
2,1,30,12,77,0,1
3,0,32,7,0,0,1
3,NaN,30,7,0,0,1
3,0,29,7,77,0,1
